hhcode,year,location,expenditure,food,micro,education1,education2,health,diversity,stunting,wasting,underweight,schooling,enrolled,illness1,illness2,large,small,poultry,animals,treated,head_age,elderly,head_sex,head_married,head_educ,head_sick,ovc,hhsize,age_5under,age_0617,age_1834,age_3549,age_5064,depend_ratio,sex_ratio,adult_educ,non_active,initial_exp,agriculture,salaried,casual,self,transfers,rooms,land,livestock,water,bike,radio,phone,mosquito,road,market,communication,electricity,district1,district2,district3,district4,district5,district6,sample_nutrition,sample_education
603010001,0,603,3797.927,25.31013,0,83.33334,133.3333,1433.333,3,-0.8744743,-1.756364,-1.785933,1.186906,80,85.91152,88.88889,0,5,0,5,0,63,0,1,0,0,0,0,10,3,5,1,0,1,0.8,0.6,0,2,3797.927,0,0,0,0,0,1,1.5,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
603010001,1,603,6990.52,71.9804,1674.046,61.16208,0,132.5178,9,,,,,,100,100,0,3,0,3,0,63,0,1,0,0,0,0,10,3,5,1,0,1,0.8,0.6,0,2,3797.927,0,0,0,0,0,1,1.5,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
603010007,0,603,3033.133,76.37482,1190.576,25,58.33333,0,7,-3.535214,-0.7925715,-3.501132,-0.1730413,100,100,100,0,0,10,10,0,44,0,0,1,0,0,1,15,6,6,2,1,0,0.8,0.4,0,3,3033.133,0,0,1,0,0,2,5,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
603010007,1,603,,,,,,,,,,,,,,,,,,,0,44,0,0,1,0,0,1,15,6,6,2,1,0,0.8,0.4,0,3,3033.133,0,0,1,0,0,2,5,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
603010050,0,603,6780.026,76.12595,2502.694,5,20.83333,0,11,-2.26699,0.1290082,-1.411813,-0.9960637,50,100,100,0,10,16,26,0,55,0,0,1,3,0,0,8,1,4,1,1,1,0.625,0.25,0,3,6780.026,0,0,1,0,1,2,4.5,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1
603010050,1,603,,,,,,,,,,,,,,,,,,,0,55,0,0,1,3,0,0,8,1,4,1,1,1,0.625,0.25,0,3,6780.026,0,0,1,0,1,2,4.5,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1
603010071,0,603,5779.933,68.92121,1382.158,4.166667,204.1667,20,6,,,,-1.752306,0,83.56345,83.33333,0,0,10,10,0,55,0,0,0,0,0,0,6,0,3,2,0,1,0.5,0.1666667,0,3,5779.933,1,0,0,0,0,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
603010071,1,603,5281.631,68.19318,504.8618,305.8104,30.58104,69.31702,5,,,,-1.143269,66.66667,77.67857,25,0,0,0,0,0,55,0,0,0,0,0,0,6,0,3,2,0,1,0.5,0.1666667,0,3,5779.933,1,0,0,0,0,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
603010083,0,603,7410.69,84.3132,2875.944,125,0,50,10,,,,-0.4022255,100,82.83293,66.66667,0,1,0,1,0,77,1,1,0,0,0,8,9,0,8,0,0,0,1,0.4444444,0,0,7410.69,0,0,1,0,0,2,6,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
603010083,1,603,5979.211,77.3783,2361.566,91.74312,5.09684,6.116208,9,,,,-0.1465311,100,97.14286,80,0,8,3,11,0,77,1,1,0,0,0,8,9,0,8,0,0,0,1,0.4444444,0,0,7410.69,0,0,1,0,0,2,6,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
603010109,0,603,5325.347,76.91856,1097.719,125,0,0,9,,,,-0.6923126,100,98.02761,80,0,19,0,19,0,40,0,1,0,0,0,1,5,0,2,2,1,0,0.4,0.4,1,3,5325.347,1,0,1,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
603010109,1,603,5937.894,83.09035,1396.027,66.25892,0,0,8,,,,-0.6477548,66.66667,95.83334,66.66667,0,9,12,21,0,40,0,1,0,0,0,1,5,0,2,2,1,0,0.4,0.4,1,3,5325.347,1,0,1,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
603010112,0,603,2450.12,73.16457,591.8165,5,0,0,10,-4.502453,1.918413,-1.820837,-1.354361,100,100,66.66667,0,1,0,1,0,26,0,1,0,5,0,2,3,1,1,1,0,0,0.6666667,0.3333333,0,1,2450.12,0,0,1,0,0,3,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
603010112,1,603,4151.289,76.10754,1499.753,5.09684,51.98777,4.077472,10,-3.871282,0.9194016,-2.113724,-1.093751,100,80.95238,33.33334,0,0,3,3,0,26,0,1,0,5,0,2,3,1,1,1,0,0,0.6666667,0.3333333,0,1,2450.12,0,0,1,0,0,3,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
603010131,0,603,4852.75,60.22874,1294.067,1.666667,0,933.3333,10,,,,-0.9747268,100,80.27613,83.33333,0,0,25,25,0,43,0,0,1,7,0,0,6,1,3,0,2,0,0.6666667,0.5,0,2,4852.75,1,0,0,0,0,3,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
603010131,1,603,5542.846,44.62562,1394.613,107.0336,101.9368,652.3955,7,-1.64221,-0.1481494,-1.118451,-0.9937831,100,100,83.33333,0,3,0,3,0,43,0,0,1,7,0,0,6,1,3,0,2,0,0.6666667,0.5,0,2,4852.75,1,0,0,0,0,3,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
603010135,0,603,3608.1,50.40326,171.8143,10,0,66.66666,3,,,,0.2307803,100,75.6739,60,0,0,0,0,0,56,0,1,0,0,1,4,5,0,4,0,0,1,0.8,0.6,0,1,3608.1,1,0,0,0,0,3,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
603010135,1,603,10235.59,89.13467,6090.842,0,66.25892,12.23242,12,,,,-0.0808746,,100,75,0,0,10,10,0,56,0,1,0,0,1,4,5,0,4,0,0,1,0.8,0.6,0,1,3608.1,1,0,0,0,0,3,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
603010165,0,603,5670.887,90.40421,2126.583,7.5,0,33.33333,11,-2.818843,-0.6021937,-2.259005,-0.3019934,50,98.68507,83.33333,0,0,0,0,0,77,1,1,0,4,1,2,7,2,2,2,0,0,0.7142857,0.7142857,0,2,5670.887,0,0,1,0,0,2,2,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
603010165,1,603,6792.672,93.33695,2837.374,101.9368,0,61.16208,4,-1.564481,-0.7235316,-1.506779,-0.2040542,66.66667,90,0,0,0,3,3,0,77,1,1,0,4,1,2,7,2,2,2,0,0,0.7142857,0.7142857,0,2,5670.887,0,0,1,0,0,2,2,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
603010166,0,603,2351.177,36.28013,477.3963,15,66.66666,1216.667,9,,,,-0.4491228,100,78.08459,66.66667,0,0,1,1,0,52,0,1,0,0,1,2,3,0,2,0,0,1,0.6666667,0.3333333,0,1,2351.177,0,0,1,0,0,2,3,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
603010166,1,603,4434.434,90.17972,1027.849,101.9368,0,10.19368,6,,,,-0.5482169,100,100,50,0,0,0,0,0,52,0,1,0,0,1,2,3,0,2,0,0,1,0.6666667,0.3333333,0,1,2351.177,0,0,1,0,0,2,3,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
603010200,0,603,4093.227,66.85581,615.2794,0,0,166.6667,9,,,-1.407597,,,80.27614,66.66667,0,0,0,0,0,45,0,0,1,7,0,0,3,1,0,1,1,0,0.3333333,0.6666667,0,1,4093.227,1,0,0,0,0,4,7,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0
603010200,1,603,5023.852,77.80718,2110.29,38.2263,20.6422,24.46483,11,0.5965416,-0.465717,0.0107238,,,97.61905,75,0,0,4,4,0,45,0,0,1,7,0,0,3,1,0,1,1,0,0.3333333,0.6666667,0,1,4093.227,1,0,0,0,0,4,7,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0
603010207,0,603,8149.36,84.58775,1228.547,0,41.66667,0,7,-1.597962,-0.4036864,-1.272548,-0.8998207,50,100,100,0,0,0,0,0,50,0,0,1,0,0,0,11,2,6,2,0,1,0.7272727,0.4545455,0,0,8149.36,0,1,1,0,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
