hhcode,year,location,expenditure,food,micro,education1,education2,health,diversity,stunting,wasting,schooling,enrolled,illness1,illness2,treated,head_age,elderly,head_sex,head_married,head_educ,head_sick,ovc,hhsize,age_5under,age_0617,age_1834,age_3549,age_5064,depend_ratio,sex_ratio,adult_educ,non_active,initial_exp,agriculture,salaried,casual,self,transfers,rooms,land,livestock,water,bike,radio,phone,mosquito,road,market,communication,electricity,district1,district2,district3,district4,district5,district6,sample_nutrition,sample_education
101000031,0,101,16598.29,5252.29,1299,3483.333,600,166.6667,11,,,.8452824,100,100,100,1,50,0,0,1,7,0,1,7,0,4,1,1,1,.5714286,.2857143,2,1,16598.29,1,0,0,0,0,2,5,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1
101000031,1,101,13550.02,8514.343,3363.364,254.842,0,0,10,,,.6600375,100,100,100,1,50,0,0,1,7,0,1,7,0,4,1,1,1,.5714286,.2857143,2,1,16598.29,1,0,0,0,0,2,5,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1
101000033,0,101,3432.077,2065.41,433,0,0,0,6,-.0326391,-1.428995,,,7.955293,0,1,40,0,1,0,6,1,0,2,1,0,0,1,0,.5,.5,0,1,3432.077,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
101000033,1,101,6528.198,3625.547,873.9449,234.4547,11.72273,20.38736,10,.9408194,-1.417097,,,95.2381,33.33334,1,40,0,1,0,6,1,0,2,1,0,0,1,0,.5,.5,0,1,3432.077,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
101000034,0,101,12714.11,4615.78,1515.5,125,3408.333,166.6667,9,1.186038,.0737974,.2994044,100,91.78172,87.5,1,70,1,0,1,8,1,5,10,2,4,2,0,1,.7,.7,2,3,12714.11,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000034,1,101,11104.13,5760.092,1059.327,346.5851,203.8736,81.54944,8,.5074716,-.9819825,-.0311392,100,98.21429,75,1,70,1,0,1,8,1,5,10,2,4,2,0,1,.7,.7,2,3,12714.11,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000035,0,101,5671.227,3169.56,1017.55,0,100,0,7,,,.7459068,66.66667,100,100,1,49,0,1,0,0,0,3,5,0,3,1,1,0,.6,.2,0,1,5671.227,1,0,0,0,0,2,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000035,1,101,7868.45,4038.685,1297.676,1019.368,331.2946,265.0357,8,,,,,100,85.71429,1,49,0,1,0,0,0,3,5,0,3,1,1,0,.6,.2,0,1,5671.227,1,0,0,0,0,2,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000036,0,101,7190.104,3979.27,995.9,187.5,625,0,9,,,-.0845511,100,100,100,1,45,0,1,1,0,0,1,4,0,2,1,1,0,.5,.25,1,2,7190.104,0,0,1,0,0,2,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1
101000036,1,101,9424.648,5720.367,1403.609,275.2294,52.49745,1019.368,11,,,.5618916,100,92.85714,28.57143,1,45,0,1,1,0,0,1,4,0,2,1,1,0,.5,.25,1,2,7190.104,0,0,1,0,0,2,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1
